Airline,Date_of_Journey,Source,Destination,Route,Duration,Total_Stops,Additional_Info,Price
Jet Airways,09/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,19h,2 stops,No info,13882
IndiGo,12/05/2019,Kolkata,Banglore,CCU → NAG → BLR,5h 25m,1 stop,No info,6218
IndiGo,01/03/2019,Banglore,New Delhi,BLR → NAG → DEL,4h 45m,1 stop,No info,13302
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,2h 25m,non-stop,No info,3873
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,15h 30m,1 stop,In-flight meal not included,11087
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21h 5m,1 stop,No info,22270
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,25h 30m,1 stop,In-flight meal not included,11087
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,7h 50m,1 stop,No info,8625
Air India,01/06/2019,Delhi,Cochin,DEL → BLR → COK,13h 15m,1 stop,No info,8907
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4174
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,4667
Jet Airways,09/05/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 10m,1 stop,In-flight meal not included,9663
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4804
Air India,03/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,26h 35m,2 stops,No info,14011
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,4h 30m,1 stop,No info,5830
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,22h 35m,1 stop,In-flight meal not included,10262
Air India,12/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,23h,2 stops,No info,13381
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,20h 35m,1 stop,In-flight meal not included,12898
GoAir,06/03/2019,Delhi,Cochin,DEL → BOM → COK,5h 10m,1 stop,,19495
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,15h 20m,1 stop,No info,6955
IndiGo,03/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,3943
IndiGo,01/05/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,4823
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,13h 20m,1 stop,In-flight meal not included,7757
Jet Airways,09/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,15h 10m,2 stops,No info,13292
IndiGo,01/06/2019,Delhi,Cochin,DEL → LKO → COK,5h 45m,1 stop,No info,8238
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,5h 55m,1 stop,No info,7682
Vistara,18/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,4668
Vistara,15/06/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,3687
Vistara,18/06/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,3687
Air India,01/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,13h 25m,2 stops,No info,13227
IndiGo,06/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,4423
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,22h,2 stops,In-flight meal not included,10919
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,5h 30m,1 stop,In-flight meal not included,12373
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,10h 25m,1 stop,No info,5894
SpiceJet,21/05/2019,Kolkata,Banglore,CCU → MAA → BLR,5h 15m,1 stop,No info,4649
,18/05/2019,Kolkata,Banglore,CCU → BLR,2h 30m,non-stop,No info,6245
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,6h 15m,1 stop,No info,19225
Jet Airways,03/06/2019,Delhi,Cochin,DEL → BOM → COK,11h 55m,1 stop,No info,14924
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → HYD → COK,11h 5m,1 stop,,9646
Air India,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,8h 30m,1 stop,No info,8714
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,22h 5m,1 stop,In-flight meal not included,12373
Air Asia,,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,3383
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,12h,1 stop,No info,13062
SpiceJet,24/03/2019,Banglore,,BLR → DEL,2h 50m,non-stop,No check-in baggage included,3527
IndiGo,27/05/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,3943
Air India,03/05/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,4667
Air India,15/05/2019,Kolkata,Banglore,CCU → HYD → BLR,16h 5m,1 stop,No info,6117
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19h 55m,2 stops,In-flight meal not included,11150
Jet Airways,09/03/2019,Delhi,Cochin,DEL → COK,3h 15m,non-stop,In-flight meal not included,7202
Jet Airways,01/05/2019,Kolkata,Banglore,CCU → DEL → BLR,25h 20m,1 stop,No info,12121
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,2h 50m,non-stop,No info,4377
IndiGo,18/06/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,No info,3943
Air Asia,03/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,4483
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16h 15m,1 stop,No info,14231
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,15h 5m,2 stops,No info,17345
Vistara,06/03/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,7414
Multiple carriers,06/05/2019,Delhi,Cochin,DEL → BOM → COK,6h 30m,1 stop,No info,8073
Vistara,06/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,25h 5m,1 stop,No info,12395
Air India,06/06/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 25m,1 stop,,8366
Air India,03/04/2019,Delhi,Cochin,DEL → MAA → COK,27h 20m,1 stop,No info,5117
Multiple carriers,03/06/2019,Delhi,Cochin,DEL → BOM → COK,10h 15m,1 stop,No info,
IndiGo,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10h 30m,1 stop,No info,7191
Vistara,24/05/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No info,3687
IndiGo,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10h 25m,1 stop,No info,5894
Vistara,24/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,5403
Air India,06/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,3625
Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,13h 20m,2 stops,No info,10861
IndiGo,12/03/2019,Chennai,Kolkata,MAA → CCU,2h 15m,,No info,6297
Jet Airways,01/06/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,No info,5678
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,26h 30m,1 stop,In-flight meal not included,9134
Multiple carriers,24/06/2019,Delhi,Cochin,,7h 20m,1 stop,In-flight meal not included,10791
Jet Airways,24/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,13h 30m,2 stops,No info,12819
,21/03/2019,Delhi,Cochin,DEL → BLR → COK,5h,1 stop,No info,6893
Vistara,09/03/2019,Banglore,New Delhi,BLR → DEL,2h 45m,non-stop,No info,7240
,03/04/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,3898
IndiGo,03/04/2019,Mumbai,Hyderabad,BOM → HYD,1h 30m,non-stop,No info,4049
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,19h 5m,1 stop,In-flight meal not included,
SpiceJet,21/03/2019,Chennai,Kolkata,MAA → CCU,2h 15m,non-stop,No check-in baggage included,3332
Jet Airways,09/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14h 50m,1 stop,,10844
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,2h 40m,non-stop,No info,7229
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,22h 10m,1 stop,No info,13941
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,9h 35m,1 stop,No info,5894
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10h,1 stop,No info,10197
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21h 20m,1 stop,In-flight meal not included,13712
IndiGo,,Delhi,Cochin,DEL → MAA → COK,5h 25m,1 stop,No info,5636
Jet Airways,06/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18h 45m,2 stops,No info,13014
Jet Airways,01/04/2019,Kolkata,Banglore,CCU → BOM → BLR,,1 stop,In-flight meal not included,7064
Jet Airways,24/05/2019,Kolkata,,CCU → DEL → BLR,18h,1 stop,In-flight meal not included,10703
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → HYD → COK,9h 15m,1 stop,No info,9646
Multiple carriers,06/03/2019,Delhi,Cochin,DEL → BOM → COK,11h 5m,1 stop,No info,
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,17h 30m,1 stop,No info,13817
Air India,06/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,13h 20m,2 stops,No info,13748
Air India,21/04/2019,Kolkata,Banglore,CCU → BLR,2h 35m,non-stop,No info,4880
IndiGo,21/06/2019,Chennai,Kolkata,MAA → CCU,2h 25m,non-stop,No info,3540
SpiceJet,15/05/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No check-in baggage included,3257
Jet Airways,03/06/2019,Banglore,Delhi,BLR → DEL,3h,non-stop,In-flight meal not included,6478
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,No info,8040
Jet Airways,12/06/2019,Delhi,Cochin,,16h 35m,2 stops,No info,14300
Jet Airways,15/05/2019,Kolkata,,CCU → BOM → BLR,12h 20m,1 stop,,
Jet Airways,09/06/2019,Kolkata,Banglore,CCU → BOM → BLR,12h 15m,1 stop,No info,
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,7h 30m,1 stop,In-flight meal not included,10262
Air India,12/05/2019,,Banglore,CCU → MAA → BLR,24h,1 stop,No info,6528
Air India,01/05/2019,Banglore,Delhi,BLR → DEL,2h 45m,non-stop,No info,6121
Jet Airways,18/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,8h 55m,2 stops,In-flight meal not included,13029
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,7h 10m,1 stop,No info,11421
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,14h 30m,1 stop,No info,7574
Air India,09/05/2019,Delhi,Cochin,DEL → JDH → BOM → COK,30h 20m,2 stops,No info,11596
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19h 55m,2 stops,No info,15129
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,15h,1 stop,No info,13555
,12/04/2019,Banglore,Delhi,BLR → DEL,2h 55m,non-stop,No info,5780
Vistara,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,12h 45m,1 stop,No info,9397
Jet Airways,06/03/2019,Delhi,Cochin,DEL → BOM → COK,10h 10m,1 stop,No info,17024
GoAir,27/06/2019,Delhi,Cochin,DEL → BOM → COK,,1 stop,No info,5281
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → HYD → COK,15h 25m,1 stop,No info,10348
Air India,06/03/2019,Delhi,Cochin,DEL → MAA → COK,16h 5m,1 stop,No info,12677
Multiple carriers,03/03/2019,Delhi,Cochin,DEL → BOM → COK,10h 10m,1 stop,No info,15147
Vistara,12/06/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,No info,4668
Jet Airways,09/05/2019,Delhi,Cochin,DEL → BOM → COK,11h 55m,1 stop,No info,15554
SpiceJet,09/04/2019,Banglore,Delhi,BLR → DEL,2h 40m,non-stop,,3971
Air India,03/05/2019,Mumbai,Hyderabad,BOM → HYD,1h 25m,non-stop,No info,3100
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14h 5m,1 stop,In-flight meal not included,9663
Air India,01/03/2019,Delhi,Cochin,DEL → BOM → COK,20h 15m,1 stop,No info,
IndiGo,12/05/2019,Chennai,Kolkata,MAA → CCU,2h 25m,non-stop,No info,3540
Air India,21/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,23h 10m,2 stops,No info,10676
Jet Airways,12/06/2019,,Banglore,CCU → BOM → BLR,18h 10m,1 stop,No info,13044
Jet Airways,06/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16h,1 stop,No info,14388
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,2h 50m,non-stop,No info,3943
IndiGo,,Chennai,Kolkata,MAA → CCU,2h 20m,non-stop,No info,3597
Air India,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,8h,1 stop,No info,5932
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,16h 55m,1 stop,In-flight meal not included,10262
Vistara,12/05/2019,Delhi,Cochin,DEL → COK,3h 10m,non-stop,No info,6216
